og_distance,og_popularity,xi_level_0,xi_level_0.25,xi_level_0.5,xi_level_0.75,xi_level_1
5.85752,-11.258,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.55434,-21.8986,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.44002,-19.5546,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.93878,-12.2254,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.70452,-25.3246,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.77799,-10.5111,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
4.89906,-4.86803,-1.84798,-2.80128,-3.20216,-3.43418,-3.58235
6.77264,-26.8804,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.85508,-29.1435,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.72569,-25.8495,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.51095,-8.09341,-1.84798,-2.80128,-3.20217,-3.43419,-3.58236
6.72569,-25.5574,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.58271,-22.4845,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.65929,-24.1618,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.24638,-16.3076,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.77264,-26.9701,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.72827,-25.9132,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.85752,-11.3399,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.99768,-12.9187,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.70452,-25.0335,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.55434,-21.9099,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.72827,-25.622,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.07949,-13.7874,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.70378,-9.84366,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.77799,-10.5371,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
7.12039,-37.7768,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.52811,-21.3671,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.9545,-32.1185,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
4.44092,-3.38921,-1.84798,-2.80129,-3.20216,-3.43418,-3.58234
6.24638,-16.3074,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.70378,-9.84361,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.90091,-30.5552,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.5085,-20.968,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.66224,-24.3125,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.66224,-24.3111,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.72827,-25.9013,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.52811,-21.3533,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.92756,-31.4304,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.55067,-21.7517,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.19296,-6.00361,-1.84798,-2.80128,-3.20216,-3.43418,-3.58236
6.62247,-23.3935,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.79343,-27.6003,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.2041,-15.6869,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.93878,-12.2277,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.92582,-31.3884,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.2041,-15.6867,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.8917,-30.3636,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.48064,-8.04281,-1.84798,-2.80128,-3.20217,-3.43419,-3.58236
4.09434,-2.64378,-1.84798,-2.80129,-3.20216,-3.43417,-3.58234
6.58271,-22.3604,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.33866,-17.8042,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.62247,-23.1049,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.80239,-27.7506,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.64428,-23.8946,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.34425,-17.9184,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.18154,-15.3542,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.18154,-15.3419,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.49636,-20.7079,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.84293,-28.8771,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.05036,-13.5714,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.93952,-31.7782,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.06997,-13.8239,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.24564,-6.53376,-1.84798,-2.80128,-3.20216,-3.43419,-3.58236
6.87469,-29.8458,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.8917,-30.3519,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.85752,-11.3263,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
4.78749,-4.44372,-1.84798,-2.80129,-3.20216,-3.43418,-3.58235
6.74848,-26.3242,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.70378,-9.83965,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
